sample_id,fold,fusion_model,spearman,jaccard_top5pct,jaccard_top50,entropy_image_only,entropy_fusion,n_tiles
112,1,coattention_fusion,0.8205846589608604,0.5294117647058824,0.5384615384615384,5.222178,5.5232515,256
685,1,coattention_fusion,0.863826819638361,0.625,0.7241379310344828,5.1746736,5.5255194,256
686,1,coattention_fusion,0.9371051728084229,0.4444444444444444,0.7241379310344828,5.0969553,5.410839,256
148,1,coattention_fusion,0.8490630006866559,0.18181818181818182,0.5873015873015873,5.4069214,5.435515,256
187,1,coattention_fusion,0.2838392652780956,0.625,0.6949152542372882,5.047939,5.1376414,256
144,1,coattention_fusion,0.4419146257724879,0.3,0.4084507042253521,5.369888,4.991417,256
165,1,coattention_fusion,0.11067893110551612,0.23809523809523808,0.42857142857142855,5.49469,5.414141,256
159,1,coattention_fusion,0.6460538738841839,0.7333333333333333,0.35135135135135137,5.404458,5.536132,256
153,1,coattention_fusion,0.2341167887388418,0.3,0.3157894736842105,5.465354,5.5130296,256
705,1,coattention_fusion,-0.16213592927443346,0.0,0.02040816326530612,5.5126467,5.533105,256
175,1,coattention_fusion,0.9308666170748455,0.5294117647058824,0.6129032258064516,5.446264,5.5417485,256
288,1,coattention_fusion,-0.3356581883726253,0.0,0.030927835051546393,5.449178,5.5135345,256
525,1,coattention_fusion,0.4989828908216982,0.23809523809523808,0.3698630136986301,5.431043,5.5108805,256
219,1,coattention_fusion,0.7277072842755778,0.5294117647058824,0.6129032258064516,5.3809705,5.512863,256
282,1,coattention_fusion,0.3467112039368276,0.3684210526315789,0.26582278481012656,5.524576,5.4121313,256
207,1,coattention_fusion,0.6149884126802471,0.3,0.4492753623188406,5.423729,5.5368137,256
209,1,coattention_fusion,0.20270227740901803,0.5294117647058824,0.47058823529411764,5.1695967,5.5235586,256
